truth_values,gaussian,adarel,sarima,svr
1,1,1,0.99997764,0.907307987
1,1,1,0.99999846,0.888923511
1,1,1,1,0.869258165
1,0.998631234,1,0.99999916,0.871767133
1,0.95598191,1,0.99999678,0.880156768
1,0.921830307,1,0.99999748,0.886614982
1,0.898883112,0.610123985,0.58505361,0.885701154
0.65277778,0.707214844,0.60920701,0.61277132,0.643041747
0.60088552,0.554356986,0.616912015,0.60573773,0.615957859
0.59421687,0.462617303,0.582372182,0.57786581,0.656591885
0.609375,0.431504846,0.650345785,0.63717174,0.71867553
0.59746835,0.431104189,0.665617048,0.6432811,0.74674714
0.60040161,0.458324528,0.628034431,0.60508047,0.732030193
0.57163324,0.484110368,0.619574935,0.59963397,0.693383089
0.5923001,0.52869263,0.660147556,0.64160246,0.722933976
0.59152216,0.569203402,0.680695171,0.67545202,0.719370987
0.63207547,0.622301006,0.664386503,0.64191337,0.749556075
0.47142857,0.573317453,0.599087997,0.52462445,0.601391158
0.3828125,0.48629276,0.949996416,0.91392939,0.518180723
1,0.742800847,0.959881752,0.978812,1
1,0.919667737,0.96769942,0.99476579,1
1,1,0.973974386,0.99870128,0.91295451
1,1,0.979055023,0.99969367,0.748570628
1,1,0.983381202,0.99991394,0.921924734
1,1,0.986801212,0.99996865,0.947455589
1,1,0.989271473,0.99998994,0.928479388
1,0.996272728,0.991472281,0.99999532,0.881884962
1,0.958082163,0.993703133,1,0.858814668
1,0.927077687,0.995490661,1,0.872060754
1,0.90624294,0.996137605,1,0.882666656
1,0.896237746,0.601006286,0.58564329,0.888219868
0.58333333,0.679240439,0.589776687,0.58978932,0.522612696
