truth_values,adarel,svr,rf
1,1,0.998797399,0.99764255
1,1,0.998797399,0.997645138
1,1,0.998797399,0.997647168
1,1,0.998797399,0.997649927
1,1,0.998797399,0.997653319
1,1,0.998797399,0.997655747
1,1,0.998797399,0.997658111
1,1,0.998797399,0.997660482
1,,0.998797399,0.997663347
1,1,0.998797399,0.997665607
1,1,0.998797399,0.997668715
1,0.999991898,0.998797399,0.997671621
1,1,0.998797399,0.997673917
1,1,0.998797399,0.99767663
1,1,0.998797399,0.997679054
1,1,0.998797399,0.997681638
1,1,0.998797399,0.997684084
1,1,0.998797399,0.997686608
1,1,0.998797399,0.997689396
1,1,0.998797399,0.997691559
1,1,0.998797399,0.997694047
1,1,0.998797399,0.997696633
1,1,0.998797399,0.997699432
1,0.999999996,0.998797399,0.997701838
1,1,0.998797399,0.997704447
1,1,0.998797399,0.997706982
1,1,0.998797399,0.997709339
1,0.999984515,0.998797399,0.997712137
1,0.999997758,0.998797399,0.997714493
1,1,0.998797399,0.997716952
1,1,0.998797399,0.997719394
1,1,0.998797399,0.997722001
1,1,0.998797399,0.997724443
1,0.999980111,0.998797399,0.997726752
1,0.999982964,0.998797399,0.997729321
1,1,0.998797399,0.99773152
1,0.999991085,0.998797399,0.997734077
1,1,0.998797399,0.997736305
1,1,0.998797399,0.997738502
1,1,0.998797399,0.997741016
1,1,0.998797399,0.997743453
1,1,0.998797399,0.997745971
1,1,0.998797399,0.997748285
1,1,0.998797399,0.997750626
1,1,0.998797399,0.997752758
1,1,0.998797399,0.997755158
1,0.999984269,0.998797399,0.997757552
1,1,0.998797399,0.997759005
1,1,0.998797399,0.997761153
1,0.999983873,0.998797399,0.997764275
1,1,0.998797399,0.997766558
1,1,0.998797399,0.99776882
1,1,0.998797399,0.997770141
1,1,0.998797399,0.997772588
1,0.999996058,0.998797399,0.997775118
1,0.999996419,0.998797399,0.997777201
1,0.999022831,0.998797399,0.997779735
1,0.999997457,0.998797399,0.997782883
1,1,0.998797399,0.997785231
1,1,0.998797399,0.997787496
1,1,0.998797399,0.99778992
1,1,0.998797399,0.997792499
1,1,0.998797399,0.997794727
1,1,0.998797399,0.997796874
1,1,0.998797399,0.997799435
1,1,0.998797399,0.997801539
1,1,0.998797399,0.997803878
1,1,0.998797399,0.997807015
1,1,0.998797399,0.997809162
